"cobacia","S1_ivv_nu","S2_ivv_nu","S3_ivv_classe","S4_ivv_nu","floresta","monitorado","estacoes","escolas","alunos","docentes","risco"
51,0,0,"4",0.158,3124.6821,"yes",0,45,5063,320,0
471,0,0.366473099925426,"4",0.181,115.5636,"yes",0,2,343,60,0
473,0,0.367384758702995,"4",0.16,162.8334,"yes",0,10,2758,169,2.394
477,1.9960820003e-10,0.367562819713597,"4",0.131,42.0687,"yes",1,26,14447,453,4.969
479,1.8160070156e-09,0.367764514347011,"4",0.132,21.1428,"yes",1,12,7030,241,5.701
532,0,0.144980461149977,"4",0.154,24.615,"no",0,1,46,2,0
546,0,0.144980392959586,"4",0.169,233.8047,"no",0,1,84,3,0
547,0,0.144980395393655,"4",0.176,200.2338,"no",0,3,202,14,0
565,0,0.144980394475146,"4",0.169,74.5758,"no",0,1,223,11,0
581,0,0.144980397927482,"4",0.203,3.7026,"no",0,1,88,4,0
585,6.653684017924e-08,0.144980389170696,"4",0.199,3.5964,"no",0,1,15,1,0
599,0,0,"1",0.245,12.2661,"no",0,3,583,31,0
633,50275.0000000354,0.201870630574482,"4",0.162,124.2234,"yes",0,2,583,29,0
3993,0,0,"1",0.193,162.8685,"yes",0,16,1601,100,0
4114,0,0.252662881275433,"4",0.158,157.2255,"yes",0,4,82,7,0
4121,0,0.252662869002501,"1",0.155,151.2027,"yes",0,34,12128,689,1.571
4133,0,0.319070446443402,"1",0.155,19.8819,"no",0,1,84,6,0
4141,0,0.14498039587058,"1",0.156,2166.2055,"yes",0,52,6065,376,0
4147,0,0.144980400268817,"4",0.165,26.9235,"no",0,1,43,4,0
4156,0,0.144980399133327,"4",0.157,484.6356,"yes",0,3,227,13,0
4165,5.889273432675e-08,0.0672597356156856,"4",0.156,202.3236,"no",0,1,18,14,0
4171,0,0.319404776307427,"4",0.157,344.5497,"yes",0,1,355,14,0
4176,0,0.144980397272647,"4",0.157,187.1514,"yes",0,5,531,26,0
4192,0,0.144980389005073,"1",0.155,187.7535,"yes",0,24,6448,286,0.298
4197,0,0.320609439293235,"4",0.16,51.768,"yes",0,1,181,8,0
4217,2.60092025303866e-05,0.131906361393788,"2",0.206,94.023,"yes",0,5,178,27,0
4339,2.76443172957e-09,0.329908179850305,"4",0.234,127.4598,"yes",0,2,49,4,0
4355,1.022980409354e-08,0.329992903650043,"4",0.23,16.9065,"yes",0,1,76,7,48.649
4357,5.83476781345e-09,0.330013635315171,"4",0.237,101.6721,"yes",0,5,216,14,48.649
4359,0,0.330029885324577,"4",0.237,214.0875,"yes",2,48,10113,523,0.847
4391,2.4591502636937e-07,0.330234422415715,"4",0.227,18.8352,"yes",0,1,19,2,0
4393,0,0.330232785931816,"4",0.236,102.7296,"yes",0,5,473,25,51.525
4511,0,0.330001335415593,"4",0.232,412.5285,"yes",0,32,2223,160,51.525
4513,0,0.330063930482277,"4",0.227,2.0664,"yes",0,1,23,2,0
4531,0,0.330388195982718,"4",0.222,9.2889,"yes",0,2,80,13,0
4533,0,0.330410458590026,"4",0.212,1.6542,"yes",0,3,208,19,0
4535,0,0.330443616938947,"4",0.209,12.7323,"yes",0,24,9604,360,1.459
4545,0,0.0994693035224486,"4",0.163,39.1635,"yes",0,1,167,7,0
4551,1.47149182255e-09,0.336314922308249,"4",0.242,260.5734,"yes",0,16,4814,210,428.373
4553,2.82765589469e-09,0.336381567810055,"4",0.228,3.0438,"yes",0,1,20,1,42.567
4555,3.06596249198e-09,0.336446617480688,"4",0.222,8.7309,"yes",0,2,96,6,42.567
4563,0,0.237168874116604,"4",0.217,53.6877,"yes",2,34,12129,557,2.423
4571,0,0.338431404653718,"4",0.193,1309.4766,"yes",1,44,10625,622,2.503
4591,0,0.339777244342807,"4",0.172,862.5834,"yes",0,31,4886,326,0.462
4593,0,0.339879848426361,"4",0.2,1253.3157,"yes",2,33,11866,656,0.593
4613,0,0.229741400076175,"4",0.158,344.4012,"yes",0,6,319,35,0
4741,0,0.252427752112275,"4",0.155,189.9486,"yes",0,9,509,39,0
4751,0,0.367487183316653,"4",0.136,746.4393,"yes",1,37,5024,516,0.79
4752,9.5821382098e-10,0.252427770418558,"4",0.132,134.8992,"yes",0,2,83,11,0
4753,2.0049003346e-10,0.367535177163324,"4",0.132,21.8493,"yes",0,1,167,10,0
4761,2.6983694017e-10,0.252427747820202,"4",0.131,32.2308,"yes",1,7,2414,111,0
4764,2.8529887028e-10,0.252427779846505,"4",0.131,41.0256,"yes",1,221,142339,5427,0.516
4765,3.9944981913e-10,0.252427753847668,"4",0.129,2.3238,"yes",0,1,45,4,0
4832,0,0.414205182349267,"2",0.23,118.8774,"no",0,1,96,9,0
4855,0,0.404816134332809,"4",0.196,1068.7824,"no",0,1,17,3,0
4857,0,0.404795598806028,"4",0.227,148.0095,"no",0,11,3651,281,0
4915,0,0.372434780777655,"4",0.154,1758.7872,"yes",0,30,2572,182,0.052
4918,0,0.359547485777518,"4",0.161,108.63,"yes",0,1,35,2,0
4919,0,0.37239795148456,"4",0.16,14.9175,"yes",0,2,71,5,0
4935,0,0.390006006302196,"4",0.243,170.0154,"no",0,2,198,16,0
4955,0,0.418030110027481,"4",0.222,874.1259,"yes",0,7,309,22,0
4961,0,0.168072613588484,"4",0.215,29.6343,"yes",0,1,54,3,0
5223,0,0.144980389912841,"4",0.167,16.839,"no",0,1,100,10,0
5224,0,0.144980381060406,"4",0.167,104.445,"no",0,3,666,46,0
5225,0,0.14498040476925,"4",0.167,21.8142,"no",0,2,342,23,0
5227,0,0.144980409978015,"4",0.165,108.0009,"no",0,2,100,5,0
5233,0,0.144980395507919,"1",0.17,9.7344,"no",0,2,31,2,0
5249,0,0.144980389851285,"4",0.195,148.2939,"no",0,3,357,16,0
5255,0,0.144980395778247,"4",0.173,12.8358,"no",0,1,37,2,0
5256,0,0.144980443236603,"4",0.173,44.4429,"no",0,1,175,13,0
5258,0,0.14498044977756,"1",0.167,14.6385,"no",0,2,182,13,0
5259,0,0.144980396108861,"1",0.167,6.1632,"no",0,1,259,14,0
5278,0,0.144980402566024,"4",0.184,147.2004,"no",0,1,104,6,0
5279,0,0.144980395832528,"4",0.219,10.2006,"no",0,4,3669,129,0
5282,0,0.144980405664135,"4",0.24,118.5723,"no",0,2,134,7,0
5283,0,0.144980399808089,"4",0.246,213.6852,"no",0,4,304,17,0
5285,0,0.144980398957854,"4",0.247,40.9644,"no",0,1,88,7,0
5286,0,0.144980399887988,"4",0.247,116.3601,"no",0,4,295,13,0
5292,0,0.14498040449528,"4",0.223,187.3485,"no",0,3,226,13,0
5294,0,0.144980409656787,"4",0.245,172.2159,"no",0,2,90,8,0
5299,0,0.144980402821994,"4",0.249,156.1815,"no",0,1,11,1,0
5313,0,0,"4",0.154,1.0872,"no",0,1,136,9,0
5346,0,0.144980341656481,"1",0.17,33.9498,"no",0,1,18,1,0
5348,0,0.14498036759748,"4",0.173,60.7896,"no",0,1,18,1,0
5425,0,0.14498040079301,"4",0.157,10.3041,"no",0,1,129,8,0
5426,0,0.144980406944973,"4",0.17,70.5717,"no",0,1,24,1,0
5428,0,0.144980422550494,"4",0.171,41.1363,"no",0,1,55,3,0
5429,0,0.144980383161273,"4",0.17,75.3732,"no",0,1,33,1,0
5446,0,0.144980376230296,"4",0.199,159.8661,"no",0,1,84,6,0
5447,0,0.144980390021523,"4",0.174,41.8824,"no",0,3,142,9,0
5448,0,0.144980410372405,"4",0.198,113.5638,"no",0,2,238,12,0
5449,0,0.144980384717569,"4",0.238,188.9145,"no",0,1,93,7,0
5453,0,0.14498039503111,"4",0.168,46.3518,"no",0,2,161,8,0
5455,0,0.144980395680972,"4",0.167,55.8342,"no",0,1,31,1,0
5481,0,0.144980398255895,"4",0.215,57.9906,"no",0,1,118,11,0
5491,0,0.144980396988452,"4",0.215,265.3227,"no",0,4,161,16,0
5493,0,0.144980398308752,"4",0.219,7.3485,"no",0,2,394,34,0
5498,6.52186233565e-08,0.144980382773146,"4",0.225,25.7958,"no",0,1,11,1,0
5499,0,0.144980395881938,"4",0.217,4.1202,"no",0,1,7,1,0
5543,0,0.144980391713897,"4",0.154,2.1186,"no",0,1,142,10,0
5545,0,0.144980391287608,"4",0.154,16.4079,"no",0,1,50,4,0
5546,0,0.144980411937909,"4",0.152,191.3022,"no",0,1,204,11,0
5561,0,0.14498038837437,"4",0.152,5.7258,"no",0,1,33,2,0
5563,0,0.144980372997184,"4",0.152,2.1987,"no",0,1,200,10,0
5614,0,0.144980461402633,"4",0.152,24.1758,"no",0,1,39,2,0
5625,0,0.144980370622861,"4",0.152,14.8311,"no",0,1,97,7,0
5635,0,0.144980394501856,"4",0.152,14.7672,"no",0,1,204,10,0
5663,0,0.144980377361732,"4",0.157,61.8039,"no",0,1,118,10,0
5673,0,0.144980400363333,"4",0.169,9.7038,"no",0,1,75,8,0
5685,0,0.144980371128695,"4",0.169,31.6944,"no",0,1,107,5,0
